Birth Country,Birth Date,Cohort year,Community Serv Hours,Contact1 Email Address,Contact2 Email Address,Current Date,Current Entry Code,Current Entry Date,Current Time,Date Entered DCPS,Date Entered US School,Entry Code,Ethnicity,Ethnicity Code,Excused Absent Days,Excused Early Total,First Name,Gender,Grade,Home Address,Home Bldg/Apt,Home City,Home State,Home Zip Code,Homeroom,Hurricane Code,Last Name,Lunch Code,Magnet Strand,Magnet Type,Mailing Address,Mailing Bldg/Apt,Mailing City,Mailing State,Mailing Zip Code,Middle Initial,Middle Name,Military Family,Outdoor Suspension Days,Parent/Guardian,Parent/Guardian Phone,Phone Number,PK Program Code,School Location,School Name,School Region,Status,Status Code,Student Age,Student Florida ID,Student Full Name,Student ID,Student Language,Tardy Total,Transfer Code Current,Transfer Code Future,Truancy EFF Date,Truancy Flag,Unexcused Absent Days
USA,1/1/1999,1314,220,CLAUDIA.HOLCOMBE@email.com,CLAUDIA.HOLCOMBE2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/16/2004,8/16/2004,E01,Hispanic,H,0,7,CLAUDIA,M,12,587 SIOUX TRL   ,,MIAMI,FL,331732626,DAB, ,HOLCOMBE,F,Q,Q,1514 ROBIN ST   ,,Alachua,FL,35120,,, ,0,CLAUDETTE PURDY,(228) 867-5693,(219) 476-2877, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,40227066,"CLAUDIA, HOLCOMBE",5433197,SP,0,G, ,          ,N,2
USA,1/2/1999,1314,106,PAMALA.CLOUSE@email.com,PAMALA.CLOUSE2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/15/2005,          ,E01,Hispanic,H,8,5,PAMALA,F,10,706 CHIPPEWA TRL   ,,MIAMI,FL,331850000,GAL, ,CLOUSE,,Q,Q,9500 E TSALA APOPKA DR   ,,Altamonte Springs,FL,33302,,, ,0,MARYELLEN ELLITHORPE,(330) 502-4368,(224) 441-3550, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,17397191,"PAMALA, CLOUSE",3641029,SP,9,G, ,          ,N,1
USA,1/2/2001,1516,0,ELEONORA.JESSOP@email.com,ELEONORA.JESSOP2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/14/2006,E01,Hispanic,H,5,7,ELEONORA,M,9,2900 GULF SHORE BLVD N   ,,MIAMI,FL,331960000,YLO, ,JESSOP,,B,S,224 WETHERBY ST   ,,Anna Maria,FL,32781,,, ,0,LIESELOTTE SOMMA,(571) 521-6450,(575) 531-9342, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,52920984,"ELEONORA, JESSOP",2316806,SP,8,G,G,          ,N,0
USA,1/3/2000,1415,484,GWEN.AUSLANDER@email.com,GWEN.AUSLANDER2@email.com,4/13/2017,E01,8/22/2016,11:55:00,10/3/2003,8/8/2005,E01,Hispanic,H,0,7,GWEN,F,12,3300 GULF SHORE BLVD N   ,,MIAMI,FL,331730000,ECH, ,AUSLANDER,F,Q,Q,1544 GRADUATION LN    ,,Apalachicola,FL,31733,,, ,0,JESENIA SIERS,(303) 581-2818,(210) 918-4876,X,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,17611791,"GWEN, AUSLANDER",6404925,SP,1,G,G,          ,N,0
USA,1/3/2001,1516,0,CARISA.MICHALAK@email.com,CARISA.MICHALAK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/14/2006,E01,Hispanic,H,0,1,CARISA,M,12,481 QUAIL FRST BLVD   ,,MIAMI,FL,331930000,MEJ, ,MICHALAK,R,Q,Q,1544 GRADUATION LN   ,,Apopka,FL,33126,,, ,0,AUDIE COLLER,(717) 312-1813,(410) 949-7093, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,44489142,"CARISA, MICHALAK",9359817,EN,0,G,G,          ,N,0
USA,1/3/2001,1516,0,ISIDRA.EVANGELISTA@email.com,ISIDRA.EVANGELISTA2@email.com,4/13/2017,E01,8/22/2016,11:55:00,6/2/2006,8/14/2006,E01,White,W,0,0,ISIDRA,F,11,4041 GULF SHORE BLVD N    ,,MIAMI,FL,331930000,CAT, ,EVANGELISTA,F,B,S,6346 YELLOWTOP DR   ,,Atlantic Beach,FL,34620,,, ,0,ANASTASIA BRETT,(502) 545-1395,(774) 303-9652, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,30380088,"ISIDRA, EVANGELISTA",9772136,SP,1,G,G,          ,N,1
USA,1/3/2001,1516,0,ZETTA.PINERO@email.com,ZETTA.PINERO2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/14/2006,E01,Hispanic,H,2,1,ZETTA,M,10,109 GREENFIELD CT   ,,MIAMI,FL,331730000,CAT, ,PINERO,D,S,S,2441 SE 23RD ST   ,,Auburndale,FL,32265,,, ,0,BELIA BEUMER,(505) 731-9102,(409) 692-5980,V,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,16,88942283,"ZETTA, PINERO",2288434,SP,0,G,G,          ,N,0
USA,1/3/2002,1617,0,CARMELINA.STACH@email.com,CARMELINA.STACH2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/20/2007,8/20/2007,E01,Hispanic,H,3,2,CARMELINA,M,9,60 SEAGATE DR    ,,MIAMI,FL,331770000,MAA, ,STACH,,B,S,1485 CURLEW AVE   ,,Aventura,FL,32278,,,N,0,CHERRYL RUMMEL,(425) 367-8075,(213) 309-2150, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,30334322,"CARMELINA, STACH",6610968,SP,0,G,G,          ,N,2
USA,1/4/1999,1314,142,BLYTHE.GALLEY@email.com,BLYTHE.GALLEY2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/16/2004,8/16/2004,E01,Hispanic,H,2,0,BLYTHE,F,11,2353 MAYFIELD CT   ,,MIAMI,FL,331665823,HEA, ,GALLEY,,Q,Q,2011 RIVER REACH DR   ,,Avon Park,FL,35299,,, ,0,MAIDA ZEPP,(410) 744-9009,(508) 582-8190, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,18,32657431,"BLYTHE, GALLEY",3709577,EN,6,G, ,          ,N,1
USA,1/4/2000,1415,0,TANYA.MORMAN@email.com,TANYA.MORMAN2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/8/2005,8/8/2005,E01,Hispanic,H,0,1,TANYA,F,12,4021 GULF SHORE BLVD N,,MIAMI,FL,331960000,MMA, ,MORMAN,F,B,S,4777 ORANGE GROVE BLVD   ,,Bal Harbour,FL,31682,,, ,0,PENNEY GORY,(231) 547-7439,(747) 800-6997, ,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,75586864,"TANYA, MORMAN",9365717,SP,2,G,G,          ,N,2
USA,1/4/2002,1617,0,RODERICK.SCHULENBERG@email.com,RODERICK.SCHULENBERG2@email.com,4/13/2017,E01,8/22/2016,11:55:00,8/14/2006,8/20/2007,E01,Hispanic,H,2,3,RODERICK,F,9,11271 MAHOGANY RUN   ,,MIAMI,FL,331750000,COO, ,SCHULENBERG,,B,S,93 HELMOND TER   ,,Bartow,FL,34482,,, ,0,COLLETTE LANDMAN,(276) 957-5022,(202) 773-1163,V,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,15,28774166,"RODERICK, SCHULENBERG",6679496,SP,1,G,G,          ,N,0
USA,1/5/2000,1415,209,TEMIKA.BUCK@email.com,TEMIKA.BUCK2@email.com,4/13/2017,E01,8/22/2016,11:55:00,3/25/2004,8/8/2005,E01,White,W,3,5,TEMIKA,M,10,1515 HOUGH ST   ,,MIAMI,FL,331760000,MOL, ,BUCK,,S,S,328 SERENA CT   ,,Bay Harbor Islands,FL,35272,,, ,0,JEN FRASURE,(208) 955-4183,(775) 689-3656,E,7029,TERRA ENVIRONMENTAL RESEARCH,5,Active,A,17,56744679,"TEMIKA, BUCK",8421979,EN,1,G,G,          ,N,0
